category,strategy,normal_prompts,anomaly_prompts
candle,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
capsules,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
cashew,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
chewinggum,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
fryum,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
macaroni1,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
macaroni2,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
pcb1,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
pcb2,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
pcb3,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
pcb4,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
pipe_fryum,generic_binary,a normal industrial product || a defect-free industrial object || a clean normal object,a defective industrial product || an anomalous industrial object || a damaged or contaminated object
candle,category_binary,a normal candle || a defect-free candle || a clean undamaged candle,a defective candle || an anomalous candle || a damaged or contaminated candle
capsules,category_binary,a normal capsules || a defect-free capsules || a clean undamaged capsules,a defective capsules || an anomalous capsules || a damaged or contaminated capsules
cashew,category_binary,a normal cashew nut || a defect-free cashew nut || a clean undamaged cashew nut,a defective cashew nut || an anomalous cashew nut || a damaged or contaminated cashew nut
chewinggum,category_binary,a normal chewing gum || a defect-free chewing gum || a clean undamaged chewing gum,a defective chewing gum || an anomalous chewing gum || a damaged or contaminated chewing gum
fryum,category_binary,a normal fryum snack || a defect-free fryum snack || a clean undamaged fryum snack,a defective fryum snack || an anomalous fryum snack || a damaged or contaminated fryum snack
macaroni1,category_binary,a normal macaroni || a defect-free macaroni || a clean undamaged macaroni,a defective macaroni || an anomalous macaroni || a damaged or contaminated macaroni
macaroni2,category_binary,a normal macaroni || a defect-free macaroni || a clean undamaged macaroni,a defective macaroni || an anomalous macaroni || a damaged or contaminated macaroni
pcb1,category_binary,a normal printed circuit board || a defect-free printed circuit board || a clean undamaged printed circuit board,a defective printed circuit board || an anomalous printed circuit board || a damaged or contaminated printed circuit board
pcb2,category_binary,a normal printed circuit board || a defect-free printed circuit board || a clean undamaged printed circuit board,a defective printed circuit board || an anomalous printed circuit board || a damaged or contaminated printed circuit board
pcb3,category_binary,a normal printed circuit board || a defect-free printed circuit board || a clean undamaged printed circuit board,a defective printed circuit board || an anomalous printed circuit board || a damaged or contaminated printed circuit board
pcb4,category_binary,a normal printed circuit board || a defect-free printed circuit board || a clean undamaged printed circuit board,a defective printed circuit board || an anomalous printed circuit board || a damaged or contaminated printed circuit board
