dataset,category,batch_idx,item_idx,candidate_rank,image_path,mask_path,gt_label,pred_label,pred_score,image_width,image_height,anomaly_map_height,anomaly_map_width,map_x1,map_y1,map_x2,map_y2,map_area,candidate_score_max,candidate_score_mean,candidate_score_sum,bbox_x1,bbox_y1,bbox_x2,bbox_y2,context_1p50_x1,context_1p50_y1,context_1p50_x2,context_1p50_y2,tight_crop_path,context_1p50_crop_path,tight_gt_mask_pixels,tight_candidate_mask_pixels,tight_candidate_covers_gt_ratio,tight_candidate_mask_density,context_gt_mask_pixels,context_candidate_mask_pixels,context_candidate_covers_gt_ratio,context_candidate_mask_density,gt_binary,patchcore_score,clip_backend,tight_normal_score,tight_anomaly_score,tight_vlm_margin,context_normal_score,context_anomaly_score,context_vlm_margin
MVTec AD 2,sheet_metal,0,0,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000180_000_overexposed.png,True,True,0.6107113361358643,4224,1056,256,256,38,40,72,75,825,1.0,0.888784646987915,733.247314453125,627,165,1188,310,0,0,2030,528,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand00_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,3922.0,0.3360754070265638,0.0036591282280937,1,0.6107113361358643,open_clip:ViT-B-32/openai,0.26113569736480713,0.2785876393318176,0.017451941967010498,0.2624165713787079,0.2773686647415161,0.014952093362808228
MVTec AD 2,sheet_metal,0,0,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000180_000_overexposed.png,True,True,0.6107113361358643,4224,1056,256,256,32,13,59,36,354,0.9254418611526488,0.8683566451072693,307.39825439453125,528,53,974,149,0,0,1643,293,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand01_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,3922.0,0.3360754070265638,0.0081470879665308,1,0.6107113361358643,open_clip:ViT-B-32/openai,0.24854536354541779,0.2649793326854706,0.016433969140052795,0.2671807110309601,0.2831564247608185,0.0159757137298584
MVTec AD 2,sheet_metal,0,0,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000180_000_overexposed.png,True,True,0.6107113361358643,4224,1056,256,256,70,235,90,244,132,0.8548479080200195,0.8388404846191406,110.72694396972656,1155,969,1485,1007,660,912,1980,1056,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand02_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,0.0,0.0,0.0,1,0.6107113361358643,open_clip:ViT-B-32/openai,0.25217777490615845,0.26617538928985596,0.01399761438369751,0.252269983291626,0.26939117908477783,0.017121195793151855
MVTec AD 2,sheet_metal,0,1,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000181_000_regular.png,True,True,0.5817731618881226,4224,1056,256,256,41,41,71,73,675,1.0,0.8934324383735657,603.06689453125,676,169,1172,302,0,0,1916,502,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand00_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,3922.0,0.3360754070265638,0.0040776351795323,1,0.5817731618881226,open_clip:ViT-B-32/openai,0.2554931640625,0.27290788292884827,0.017414718866348267,0.24957817792892456,0.2628992199897766,0.01332104206085205
MVTec AD 2,sheet_metal,0,1,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000181_000_regular.png,True,True,0.5817731618881226,4224,1056,256,256,23,11,58,34,543,0.9797162413597108,0.89033043384552,483.4494323730469,379,45,957,141,0,0,1824,285,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand01_context_1.50.png,11670.0,512.0,0.043873179091688,0.0092272202998846,11670.0,3922.0,0.3360754070265638,0.0075446291166512,1,0.5817731618881226,open_clip:ViT-B-32/openai,0.2572892904281616,0.27489200234413147,0.01760271191596985,0.25185468792915344,0.2672486901283264,0.015394002199172974
MVTec AD 2,sheet_metal,0,1,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000181_000_regular.png,True,True,0.5817731618881226,4224,1056,256,256,218,24,227,31,42,0.8383731842041016,0.8312029242515564,34.9105224609375,3597,99,3746,128,3373,55,3970,172,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand02_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,0.0,0.0,0.0,1,0.5817731618881226,open_clip:ViT-B-32/openai,0.257956862449646,0.2683858871459961,0.010429024696350098,0.2486215978860855,0.26315048336982727,0.01452888548374176
MVTec AD 2,sheet_metal,0,2,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000183_000_shift_2.png,True,True,0.7540854215621948,4224,1056,256,256,41,31,75,77,974,1.0,0.9453627467155457,920.7833251953124,676,127,1238,318,0,0,2081,604,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000183_000_shift_2_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand00_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,5266.0,0.4512425021422451,0.0041895930064188,1,0.7540854215621948,open_clip:ViT-B-32/openai,0.2520723342895508,0.26959607005119324,0.017523735761642456,0.26291659474372864,0.2743264436721802,0.011409848928451538
MVTec AD 2,sheet_metal,0,2,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000183_000_shift_2.png,True,True,0.7540854215621948,4224,1056,256,256,214,21,230,38,222,0.9933183789253236,0.9415510296821594,209.0243225097656,3531,86,3795,157,3135,0,4191,263,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000183_000_shift_2_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand01_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,0.0,0.0,0.0,1,0.7540854215621948,open_clip:ViT-B-32/openai,0.2582722306251526,0.2736954092979431,0.015423178672790527,0.25618672370910645,0.27363041043281555,0.017443686723709106
MVTec AD 2,sheet_metal,0,2,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000183_000_shift_2.png,True,True,0.7540854215621948,4224,1056,256,256,40,18,53,28,115,0.9298095703125,0.9134151339530944,105.04273986816406,660,74,875,116,338,11,1197,179,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000183_000_shift_2_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand02_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,3919.0,0.3358183376178235,0.0271564388269859,1,0.7540854215621948,open_clip:ViT-B-32/openai,0.243268221616745,0.25365325808525085,0.01038503646850586,0.2560591995716095,0.27792882919311523,0.021869629621505737
MVTec AD 2,sheet_metal,0,3,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000187_001_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000187_001_regular.png,True,True,0.6158413290977478,4224,1056,256,256,202,207,235,243,854,1.0,0.8924779295921326,762.1761474609375,3333,853,3878,1003,2515,628,4224,1056,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000187_001_regular_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000187_001_regular_cand00_context_1.50.png,19294.0,0.0,0.0,0.0,19294.0,0.0,0.0,0.0,1,0.6158413290977478,open_clip:ViT-B-32/openai,0.24457384645938873,0.25759661197662354,0.013022765517234802,0.24242611229419708,0.25158950686454773,0.009163394570350647
MVTec AD 2,sheet_metal,0,3,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000187_001_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000187_001_regular.png,True,True,0.6158413290977478,4224,1056,256,256,36,224,52,242,230,0.8652164340019226,0.8240206241607666,189.52474975585935,594,924,858,999,198,812,1254,1056,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000187_001_regular_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000187_001_regular_cand01_context_1.50.png,19294.0,0.0,0.0,0.0,19294.0,3738.0,0.1937389862133305,0.0145072652757079,1,0.6158413290977478,open_clip:ViT-B-32/openai,0.2587187886238098,0.2751237452030182,0.016404956579208374,0.26094627380371094,0.2768274247646332,0.01588115096092224
MVTec AD 2,sheet_metal,0,3,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000187_001_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000187_001_regular.png,True,True,0.6158413290977478,4224,1056,256,256,60,23,75,39,175,0.8588618636131287,0.8210724592208862,143.68768310546875,990,94,1238,161,618,0,1610,261,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000187_001_regular_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000187_001_regular_cand02_context_1.50.png,19294.0,955.0,0.0494972530320306,0.0574747231584015,19294.0,4012.0,0.2079402923188556,0.0154956124088493,1,0.6158413290977478,open_clip:ViT-B-32/openai,0.2632158696651459,0.27935799956321716,0.01614212989807129,0.23055030405521393,0.238937646150589,0.008387342095375061
MVTec AD 2,sheet_metal,0,4,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000188_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000188_001_shift_1.png,True,True,0.8422553539276123,4224,1056,256,256,204,216,233,242,557,1.0,0.912876546382904,508.4722290039063,3366,891,3845,999,2648,729,4224,1056,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000188_001_shift_1_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000188_001_shift_1_cand00_context_1.50.png,19294.0,0.0,0.0,0.0,19294.0,0.0,0.0,0.0,1,0.8422553539276123,open_clip:ViT-B-32/openai,0.26859670877456665,0.28819739818573,0.01960068941116333,0.2419917732477188,0.2518913149833679,0.009899541735649109
MVTec AD 2,sheet_metal,0,4,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000188_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000188_001_shift_1.png,True,True,0.8422553539276123,4224,1056,256,256,60,17,92,45,538,0.9121578931808472,0.873898983001709,470.15765380859375,990,70,1518,186,198,0,2310,360,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000188_001_shift_1_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000188_001_shift_1_cand01_context_1.50.png,19294.0,1679.0,0.0870218720845858,0.0274131400208986,19294.0,5579.0,0.2891572509588473,0.0073376999158249,1,0.8422553539276123,open_clip:ViT-B-32/openai,0.244792178273201,0.26066070795059204,0.015868529677391052,0.24194926023483276,0.2554526627063751,0.013503402471542358
MVTec AD 2,sheet_metal,0,4,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000188_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000188_001_shift_1.png,True,True,0.8422553539276123,4224,1056,256,256,34,224,49,238,159,0.8921891450881958,0.8629260063171387,137.20523071289062,561,924,809,982,189,837,1181,1056,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000188_001_shift_1_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000188_001_shift_1_cand02_context_1.50.png,19294.0,0.0,0.0,0.0,19294.0,3514.0,0.1821291593241422,0.0161750626012667,1,0.8422553539276123,open_clip:ViT-B-32/openai,0.25677499175071716,0.2695694863796234,0.01279449462890625,0.23400677740573883,0.2479507029056549,0.013943925499916077
